,storage (m3),inflow (m3/h),precipitaion (m3/h),evaporation (m3/h),outflow (m3/h),spilt (m3/h)
0,55501237469.705864,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
1,55502474939.41173,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
2,55503712409.11759,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
3,55504949878.823456,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
4,55506187348.52932,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
5,55507424818.23518,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
6,55508662287.94105,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
7,55509899757.64691,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
8,55511126049.355095,1366203.5999999999,0.0,128733.89413533836,11177.997680597939,0.0
9,55507782042.79971,1366203.5999999999,0.0,128733.89413533836,4581476.261245794,0.0
10,55503338429.030045,1366203.5999999999,0.0,128733.89413533836,5681083.4755332535,0.0
11,55498999144.04774,1366203.5999999999,0.0,128733.89413533836,5576754.688169075,0.0
12,55495347214.441666,1366203.5999999999,0.0,128733.89413533836,4889399.311935425,0.0
13,55492408964.495155,1366203.5999999999,0.0,128733.89413533836,4175719.6523759365,0.0
14,55489445196.31213,1366203.5999999999,0.0,128733.89413533836,4201237.888884014,0.0
15,55486662996.05498,1366203.5999999999,0.0,128733.89413533836,4019669.9630185673,0.0
16,55485087509.2681,1366203.5999999999,0.0,128733.89413533836,2812956.492744446,0.0
17,55485124839.93738,1366203.5999999999,0.0,128733.89413533836,1200139.0365815554,0.0
18,55486362309.64324,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
19,55487599779.349106,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
20,55488837249.05497,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
21,55490074718.76083,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
22,55491312188.4667,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
23,55492549658.17256,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
24,55493787127.878426,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
25,55495024597.58429,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
26,55496262067.29015,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
27,55497499536.99602,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
28,55498737006.70188,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
29,55499974476.407745,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
30,55501211946.11361,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
31,55502449415.81947,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
32,55503686885.52534,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
33,55500546921.98072,1366203.5999999999,0.0,128733.89413533836,4377433.250493111,0.0
34,55496332813.587395,1366203.5999999999,0.0,128733.89413533836,5451578.099189165,0.0
35,55492245743.65885,1366203.5999999999,0.0,128733.89413533836,5324539.634405629,0.0
36,55488865986.09578,1366203.5999999999,0.0,128733.89413533836,4617227.2689359,0.0
37,55486216768.40733,1366203.5999999999,0.0,128733.89413533836,3886687.394311417,0.0
38,55483556140.00926,1366203.5999999999,0.0,128733.89413533836,3898098.1039352417,0.0
39,55481088331.149956,1366203.5999999999,0.0,128733.89413533836,3705278.565169103,0.0
40,55479835390.59963,1366203.5999999999,0.0,128733.89413533836,2490410.2561876527,0.0
41,55479967723.41946,1366203.5999999999,0.0,128733.89413533836,1105136.886039734,0.0
42,55481151515.70596,1366203.5999999999,0.0,128733.89413533836,53677.41935484515,0.0
43,55482388985.41183,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
44,55483626455.11769,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
45,55484863924.823555,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
46,55486101394.52942,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
47,55487338864.23528,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
48,55488576333.94115,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
49,55489813803.64701,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
50,55491051273.352875,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
51,55492288743.05874,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
52,55493526212.7646,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
53,55494763682.47047,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
54,55496001152.17633,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
55,55497238621.882195,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
56,55498476091.58806,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
57,55495468257.0757,1366203.5999999999,0.0,128733.89413533836,4245304.218235042,0.0
58,55491365288.46732,1366203.5999999999,0.0,128733.89413533836,5340438.314242927,0.0
59,55487369057.24847,1366203.5999999999,0.0,128733.89413533836,5233700.924725041,0.0
60,55484059837.3198,1366203.5999999999,0.0,128733.89413533836,4546689.634527292,0.0
61,55481461200.27651,1366203.5999999999,0.0,128733.89413533836,3836106.7491501337,0.0
62,55478832571.87844,1366203.5999999999,0.0,128733.89413533836,3866098.1039377735,0.0
63,55476379111.406235,1366203.5999999999,0.0,128733.89413533836,3690930.1780723277,0.0
64,55475124106.339775,1366203.5999999999,0.0,128733.89413533836,2492474.7723236084,0.0
65,55475209712.27788,1366203.5999999999,0.0,128733.89413533836,1151863.7677612305,0.0
66,55476316085.20955,1366203.5999999999,0.0,128733.89413533836,131096.774193547,0.0
67,55477553554.91541,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
68,55478791024.62128,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
69,55480028494.32714,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
70,55481265964.033005,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
71,55482503433.73887,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
72,55483740903.44473,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
73,55484978373.1506,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
74,55486215842.85646,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
75,55487453312.562325,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
76,55488690782.26819,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
77,55489928251.97405,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
78,55491165721.67992,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
79,55492403191.38578,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
80,55493640661.091644,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
81,55490673084.6438,1366203.5999999999,0.0,128733.89413533836,4205046.15371891,0.0
82,55486635148.29349,1366203.5999999999,0.0,128733.89413533836,5275406.056178408,0.0
83,55482730443.956345,1366203.5999999999,0.0,128733.89413533836,5142174.043004795,0.0
84,55479541998.22123,1366203.5999999999,0.0,128733.89413533836,4425915.440978905,0.0
85,55477095447.19945,1366203.5999999999,0.0,128733.89413533836,3684020.727644755,0.0
86,55474651592.99493,1366203.5999999999,0.0,128733.89413533836,3681323.9103893866,0.0
87,55472417865.85605,1366203.5999999999,0.0,128733.89413533836,3471196.844738995,0.0
88,55471418929.606804,1366203.5999999999,0.0,128733.89413533836,2236405.9551123856,0.0
89,55472129946.29758,1366203.5999999999,0.0,128733.89413533836,526453.0150909424,0.0
90,55473367416.00344,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
91,55474604885.709305,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
92,55475842355.41517,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
93,55477079825.12103,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
94,55478317294.8269,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
95,55479554764.53276,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
96,55480792234.238625,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
97,55482029703.94449,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
98,55483267173.65035,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
99,55484504643.35622,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
100,55485742113.06208,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
101,55486979582.767944,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
102,55488217052.47381,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
103,55489454522.17967,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
104,55490691991.88554,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
105,55490847684.2549,1366203.5999999999,0.0,128733.89413533836,1081777.336514606,0.0
106,55489961231.77555,1366203.5999999999,0.0,128733.89413533836,2123922.185210673,0.0
107,55489233473.674965,1366203.5999999999,0.0,128733.89413533836,1965227.80644864,0.0
108,55489243961.273186,1366203.5999999999,0.0,128733.89413533836,1226982.1076455705,0.0
109,55490015027.4557,1366203.5999999999,0.0,128733.89413533836,466403.5233436778,0.0
110,55490803654.97161,1366203.5999999999,0.0,128733.89413533836,448842.1899592805,0.0
111,55491812869.76822,1366203.5999999999,0.0,128733.89413533836,228254.90925512297,0.0
112,55493050339.47408,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
113,55494287809.17995,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
114,55495525278.88581,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
115,55496762748.591675,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
116,55498000218.29754,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
117,55499237688.0034,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
118,55500475157.70927,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
119,55490205901.815674,1366203.5999999999,0.0,128733.89413533836,11506725.599465275,0.0
120,55491443371.52154,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
121,55492680841.2274,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
122,55493918310.933266,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
123,55495155780.63913,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
124,55496393250.34499,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
125,55497630720.05086,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
126,55498868189.75672,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
127,55500105659.462585,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
128,55501343129.16845,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
129,55502071346.26899,1366203.5999999999,0.0,128733.89413533836,509252.6053318178,0.0
130,55501700231.42405,1366203.5999999999,0.0,128733.89413533836,1608584.5508020679,0.0
131,55501428318.48476,1366203.5999999999,0.0,128733.89413533836,1509382.6451583197,0.0
132,55501833094.25502,1366203.5999999999,0.0,128733.89413533836,832693.9356025617,0.0
133,55502934827.10421,1366203.5999999999,0.0,128733.89413533836,135736.85667701458,0.0
134,55503988744.942696,1366203.5999999999,0.0,128733.89413533836,183551.86737863408,0.0
135,55505196359.7393,1366203.5999999999,0.0,128733.89413533836,29854.909255124265,0.0
136,55506433829.44517,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
137,55507671299.15103,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
138,55508908768.856895,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
139,55510146238.56276,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
140,55511383708.26862,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
141,55512621177.97449,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
142,55513858647.68035,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
143,55500857039.09858,1366203.5999999999,0.0,128733.89413533836,14239078.28764062,0.0
144,55502094508.80444,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
145,55503331978.51031,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
146,55504569448.21617,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
147,55505806917.922035,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
148,55507044387.6279,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
149,55508281857.33376,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
150,55509519327.03963,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
151,55510756796.74549,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
152,55511994266.451355,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
153,55509560711.50888,1366203.5999999999,0.0,128733.89413533836,3671024.6483425666,0.0
154,55505983162.25535,1366203.5999999999,0.0,128733.89413533836,4815018.959396362,0.0
155,55502463834.26229,1366203.5999999999,0.0,128733.89413533836,4756797.698921758,0.0
156,55499583689.60245,1366203.5999999999,0.0,128733.89413533836,4117614.365710087,0.0
157,55497367676.21507,1366203.5999999999,0.0,128733.89413533836,3453483.093236159,0.0
158,55495075563.94603,1366203.5999999999,0.0,128733.89413533836,3529581.9749055128,0.0
159,55492913544.33404,1366203.5999999999,0.0,128733.89413533836,3399489.317855835,0.0
160,55491905937.11705,1366203.5999999999,0.0,128733.89413533836,2245076.922854319,0.0
161,55492575181.76482,1366203.5999999999,0.0,128733.89413533836,568225.0580950826,0.0
162,55493812651.47068,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
163,55495050121.176544,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
164,55496287590.88241,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
165,55497525060.58827,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
166,55498762530.294136,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
167,55500000000.0,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
