,storage (m3),inflow (m3/h),precipitaion (m3/h),evaporation (m3/h),outflow (m3/h),spilt (m3/h)
0,55501237469.705864,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
1,55502474939.41173,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
2,55503712409.11759,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
3,55504949878.823456,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
4,55506187348.52932,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
5,55507424818.23518,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
6,55508662287.94105,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
7,55509899757.64691,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
8,55510808625.20224,1366203.5999999999,0.0,128733.89413533836,328602.1505388282,0.0
9,55507046508.6971,1366203.5999999999,0.0,128733.89413533836,4999586.21100292,0.0
10,55502108231.06932,1366203.5999999999,0.0,128733.89413533836,6175747.333640104,0.0
11,55497234125.1617,1366203.5999999999,0.0,128733.89413533836,6111575.613487244,0.0
12,55493042125.54999,1366203.5999999999,0.0,128733.89413533836,5429469.317569796,0.0
13,55489593347.83845,1366203.5999999999,0.0,128733.89413533836,4686247.417404175,0.0
14,55486178874.521774,1366203.5999999999,0.0,128733.89413533836,4651943.022537381,0.0
15,55483035278.79314,1366203.5999999999,0.0,128733.89413533836,4381065.43450034,0.0
16,55481212752.74108,1366203.5999999999,0.0,128733.89413533836,3059995.7579233637,0.0
17,55481131660.768234,1366203.5999999999,0.0,128733.89413533836,1318561.6787126432,0.0
18,55482277163.755646,1366203.5999999999,0.0,128733.89413533836,91966.71844759797,0.0
19,55483514633.46151,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
20,55484752103.16737,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
21,55485989572.87324,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
22,55487227042.5791,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
23,55488464512.284966,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
24,55489701981.99083,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
25,55490939451.69669,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
26,55492176921.40256,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
27,55493414391.10842,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
28,55494651860.814285,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
29,55495889330.52015,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
30,55497126800.22601,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
31,55498364269.93188,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
32,55499448621.35818,1366203.5999999999,0.0,128733.89413533836,153118.27957321162,0.0
33,55495890547.86379,1366203.5999999999,0.0,128733.89413533836,4795543.200250237,0.0
34,55491181775.61236,1366203.5999999999,0.0,128733.89413533836,5946241.957296015,0.0
35,55486559884.7585,1366203.5999999999,0.0,128733.89413533836,5859360.559726459,0.0
36,55482640057.189804,1366203.5999999999,0.0,128733.89413533836,5157297.274559049,0.0
37,55479480311.73633,1366203.5999999999,0.0,128733.89413533836,4397215.159342159,0.0
38,55476368978.204605,1366203.5999999999,0.0,128733.89413533836,4348803.237586975,0.0
39,55473539773.87382,1366203.5999999999,0.0,128733.89413533836,4066674.0366508765,0.0
40,55472039794.05832,1366203.5999999999,0.0,128733.89413533836,2737449.521364223,0.0
41,55472053704.23601,1366203.5999999999,0.0,128733.89413533836,1223559.5281750099,0.0
42,55473145529.804085,1366203.5999999999,0.0,128733.89413533836,145644.1378024426,0.0
43,55474382999.50995,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
44,55475620469.21581,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
45,55476857938.92168,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
46,55478095408.62754,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
47,55479332878.333405,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
48,55480570348.03927,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
49,55481807817.74513,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
50,55483045287.451,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
51,55484282757.15686,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
52,55485520226.862724,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
53,55486757696.56859,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
54,55487995166.27445,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
55,55489232635.980316,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
56,55490470105.68618,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
57,55487044161.22406,1366203.5999999999,0.0,128733.89413533836,4663414.167991098,0.0
58,55482446528.757576,1366203.5999999999,0.0,128733.89413533836,5835102.172349778,0.0
59,55477915476.61339,1366203.5999999999,0.0,128733.89413533836,5768521.850049044,0.0
60,55474066186.6791,1366203.5999999999,0.0,128733.89413533836,5086759.64015044,0.0
61,55470957021.87078,1366203.5999999999,0.0,128733.89413533836,4346634.514180874,0.0
62,55467877688.33905,1366203.5999999999,0.0,128733.89413533836,4316803.23759114,0.0
63,55465062832.39536,1366203.5999999999,0.0,128733.89413533836,4052325.6495541013,0.0
64,55463560788.063736,1366203.5999999999,0.0,128733.89413533836,2739514.0374908447,0.0
65,55463527971.3597,1366203.5999999999,0.0,128733.89413533836,1270286.409894864,0.0
66,55464542377.57293,1366203.5999999999,0.0,128733.89413533836,223063.49264114446,0.0
67,55465779847.27879,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
68,55467017316.98466,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
69,55468254786.69052,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
70,55469492256.396385,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
71,55470729726.10225,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
72,55471967195.80811,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
73,55473204665.51398,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
74,55474442135.21984,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
75,55475679604.925705,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
76,55476917074.63157,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
77,55478154544.33743,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
78,55479392014.0433,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
79,55480629483.74916,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
80,55481866953.455025,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
81,55478481267.05743,1366203.5999999999,0.0,128733.89413533836,4623156.103476036,0.0
82,55473948666.84901,1366203.5999999999,0.0,128733.89413533836,5770069.914285258,0.0
83,55469509141.58654,1366203.5999999999,0.0,128733.89413533836,5676994.968328611,0.0
84,55465780625.8458,1366203.5999999999,0.0,128733.89413533836,4965985.446602054,0.0
85,55462823547.05899,1366203.5999999999,0.0,128733.89413533836,4194548.492675496,0.0
86,55459928987.7208,1366203.5999999999,0.0,128733.89413533836,4132029.044052409,0.0
87,55457333865.11044,1366203.5999999999,0.0,128733.89413533836,3832592.316220769,0.0
88,55456087889.59602,1366203.5999999999,0.0,128733.89413533836,2483445.2202858836,0.0
89,55456680483.64469,1366203.5999999999,0.0,128733.89413533836,644875.6572072648,0.0
90,55457917953.350555,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
91,55459155423.05642,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
92,55460392892.76228,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
93,55461630362.46815,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
94,55462867832.17401,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
95,55464105301.879875,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
96,55465342771.58574,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
97,55466580241.2916,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
98,55467817710.99747,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
99,55469055180.70333,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
100,55470292650.409195,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
101,55471530120.11506,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
102,55472767589.82092,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
103,55474005059.52679,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
104,55475242529.23265,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
105,55474980111.65225,1366203.5999999999,0.0,128733.89413533836,1499887.2862717318,0.0
106,55473598995.3148,1366203.5999999999,0.0,128733.89413533836,2618586.0433175233,0.0
107,55472336416.288895,1366203.5999999999,0.0,128733.89413533836,2500048.7317694696,0.0
108,55471806833.8815,1366203.5999999999,0.0,128733.89413533836,1767052.1132583618,0.0
109,55472067372.29899,1366203.5999999999,0.0,128733.89413533836,976931.288374419,0.0
110,55472405294.68124,1366203.5999999999,0.0,128733.89413533836,899547.3236126472,0.0
111,55473053114.006355,1366203.5999999999,0.0,128733.89413533836,589650.3807368967,0.0
112,55474290583.71222,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
113,55475528053.41808,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
114,55476765523.12395,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
115,55478002992.82981,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
116,55479240462.535675,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
117,55480477932.24154,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
118,55481715401.9474,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
119,55482952871.65327,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
120,55484190341.35913,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
121,55485427811.064995,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
122,55486665280.77086,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
123,55487902750.47672,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
124,55489140220.18259,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
125,55490377689.88845,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
126,55491615159.594315,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
127,55492852629.30018,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
128,55494090099.00604,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
129,55494400206.15683,1366203.5999999999,0.0,128733.89413533836,927362.555092266,0.0
130,55493534427.45379,1366203.5999999999,0.0,128733.89413533836,2103248.408908918,0.0
131,55492727693.58917,1366203.5999999999,0.0,128733.89413533836,2044203.5704803467,0.0
132,55492592399.35381,1366203.5999999999,0.0,128733.89413533836,1372763.9412257099,0.0
133,55493183604.43797,1366203.5999999999,0.0,128733.89413533836,646264.6217077558,0.0
134,55493786817.14281,1366203.5999999999,0.0,128733.89413533836,634257.0010299683,0.0
135,55494633036.46794,1366203.5999999999,0.0,128733.89413533836,391250.38073689793,0.0
136,55495870506.173805,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
137,55497107975.87967,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
138,55498345445.58553,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
139,55499582915.2914,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
140,55500820384.99726,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
141,55502057854.703125,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
142,55503295324.40899,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
143,55504532794.11485,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
144,55505770263.82072,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
145,55507007733.52658,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
146,55508245203.232445,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
147,55509482672.93831,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
148,55510720142.64417,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
149,55511957612.35004,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
150,55513195082.0559,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
151,55514432551.761765,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
152,55515670021.46763,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
153,55512818356.5754,1366203.5999999999,0.0,128733.89413533836,4089134.5981006054,0.0
154,55508746143.46375,1366203.5999999999,0.0,128733.89413533836,5309682.817511069,0.0
155,55504691994.54538,1366203.5999999999,0.0,128733.89413533836,5291618.624234087,0.0
156,55501271779.87991,1366203.5999999999,0.0,128733.89413533836,4657684.371333235,0.0
157,55498545238.72751,1366203.5999999999,0.0,128733.89413533836,3964010.8582669003,0.0
158,55495802421.324814,1366203.5999999999,0.0,128733.89413533836,3980287.1085588792,0.0
159,55493279006.24134,1366203.5999999999,0.0,128733.89413533836,3760884.7893390465,0.0
160,55492024359.75917,1366203.5999999999,0.0,128733.89413533836,2492116.1880308897,0.0
161,55492575181.76482,1366203.5999999999,0.0,128733.89413533836,686647.7002213686,0.0
162,55493812651.47068,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
163,55495050121.176544,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
164,55496287590.88241,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
165,55497525060.58827,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
166,55498762530.294136,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
167,55500000000.0,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
