,Hydro (MW),Solar (MW),Wind (MW),Loss Load (MW),Load (MW)
0,0.0,0.0,10574.888477638926,0.0,6139.8
1,0.0,0.0,9654.873868330997,0.0,6192.528
2,0.0,0.0,8803.120489565648,0.0,6383.4400000000005
3,0.0,0.0,11758.508688395934,0.0,6704.112
4,0.0,0.0,10924.931440237393,0.0,7123.68
5,0.0,2.7262705587629092,10571.600584286076,0.0,7593.448
6,0.0,45.66503185927873,9940.39281539099,0.0,8055.68
7,0.0,508.44945920928217,9201.494058033075,0.0,8454.560000000001
8,76.40000000027757,1281.3471626185672,7388.8128373814325,0.0,8746.560000000001
9,1162.4037940581788,1902.9368500165106,5842.579355925311,0.0,8907.92
10,1435.8612550713242,2348.682086374246,5152.656658554431,0.0,8937.2
11,1420.9413301357843,2579.051948589712,4853.126721273886,0.0,8853.12
12,1262.3516163349777,2609.040924736104,4816.207458928919,0.0,8687.6
13,1089.5525245464707,2444.783123570639,4942.224351882308,0.0,8476.56
14,1081.5767527399412,2120.3569270778526,5049.266320182207,0.0,8251.2
15,1018.5977135213292,1626.2203883020752,5386.221898176596,0.0,8031.040000000001
16,711.4490137171821,976.0048600371214,6134.082126245697,0.0,7821.536
17,306.56559030068956,224.23575345824926,7345.310656241061,0.0,7876.112
18,21.38226203906653,3.4078381984536366,8791.20989976248,0.0,8816.0
19,0.0,0.0,10110.190040983145,0.0,9754.64
20,0.0,0.0,10987.36931953789,0.0,9721.84
21,0.0,0.0,11382.911448393423,0.0,8550.800000000001
22,0.0,0.0,11475.257745861332,0.0,7027.152
23,0.0,0.0,11173.313596216494,0.0,6255.5199999999995
24,0.0,0.0,10574.888477638926,0.0,6172.376
25,0.0,0.0,9654.873868330997,0.0,6214.255999999999
26,0.0,0.0,8803.120489565648,0.0,6394.712
27,0.0,0.0,11758.508688395934,0.0,6705.376
28,0.0,0.0,10924.931440237393,0.0,7115.432
29,0.0,2.7262705587629092,10571.600584286076,0.0,7576.192
30,0.0,45.66503185927873,9940.39281539099,0.0,8029.999999999999
31,0.0,508.44945920928217,9201.494058033075,0.0,8421.039999999999
32,35.6000000007717,1281.3471626185672,7388.8128373814325,0.0,8705.76
33,1114.9637940581802,1902.9368500165106,5842.579355925311,0.0,8860.480000000001
34,1382.5012550713236,2348.682086374246,5152.656658554431,0.0,8883.84
35,1362.3013301364017,2579.051948589712,4853.126721273886,0.0,8794.48
36,1199.071616334979,2609.040924736104,4816.207458928919,0.0,8624.320000000002
37,1022.352524547052,2444.783123570639,4942.224351882308,0.0,8409.359999999999
38,1011.0967527389718,2120.3569270778526,5049.266320182207,0.0,8180.720000000001
39,945.5017135213288,1626.2203883020752,5386.221898176596,0.0,7957.944
40,636.4570137171819,976.0048600371214,6134.082126245697,0.0,7746.544
41,284.4775903006898,224.23575345824926,7345.310656241061,0.0,7854.024
42,33.86226203906791,3.4078381984536366,8791.20989976248,0.0,8828.480000000001
43,0.0,0.0,10110.190040983145,0.0,9744.56
44,0.0,0.0,10987.36931953789,0.0,9668.960000000001
45,0.0,0.0,11382.911448393423,0.0,8473.44
46,0.0,0.0,11475.257745861332,0.0,6950.064
47,0.0,0.0,11173.313596216494,0.0,6184.256
48,0.0,0.0,10574.888477638926,0.0,6103.776
49,0.0,0.0,9654.873868330997,0.0,6148.744
50,0.0,0.0,8803.120489565648,0.0,6332.68
51,0.0,0.0,11758.508688395934,0.0,6647.168
52,0.0,0.0,10924.931440237393,0.0,7061.344
53,0.0,2.7262705587629092,10571.600584286076,0.0,7526.4800000000005
54,0.0,45.66503185927873,9940.39281539099,0.0,7984.84
55,0.0,508.44945920928217,9201.494058033075,0.0,8380.56
56,0.0,1281.3471626185672,7388.8128373814325,0.0,8670.16
57,1084.2437940579302,1902.9368500165106,5842.579355925311,0.0,8829.76
58,1356.6612550713235,2348.682086374246,5152.656658554431,0.0,8858.0
59,1341.1813301364027,2579.051948589712,4853.126721273886,0.0,8773.36
60,1182.6716163349774,2609.040924736104,4816.207458928919,0.0,8607.92
61,1010.5925245470534,2444.783123570639,4942.224351882308,0.0,8397.6
62,1003.6567527399401,2120.3569270778526,5049.266320182207,0.0,8173.28
63,942.1657135213286,1626.2203883020752,5386.221898176596,0.0,7954.608
64,636.9370137166214,976.0048600371214,6134.082126245697,0.0,7747.023999999999
65,295.34159030055594,224.23575345824926,7345.310656241061,0.0,7864.888
66,51.86226203906609,3.4078381984536366,8791.20989976248,0.0,8846.48
67,0.0,0.0,10110.190040983145,0.0,9762.4
68,0.0,0.0,10987.36931953789,0.0,9683.76
69,0.0,0.0,11382.911448393423,0.0,8486.88
70,0.0,0.0,11475.257745861332,0.0,6964.632
71,0.0,0.0,11173.313596216494,0.0,6199.976000000001
72,0.0,0.0,10574.888477638926,0.0,6119.656
73,0.0,0.0,9654.873868330997,0.0,6164.215999999999
74,0.0,0.0,8803.120489565648,0.0,6347.152
75,0.0,0.0,11758.508688395934,0.0,6660.04
76,0.0,0.0,10924.931440237393,0.0,7072.0
77,0.0,2.7262705587629092,10571.600584286076,0.0,7534.328
78,0.0,45.66503185927873,9940.39281539099,0.0,7989.28
79,0.0,508.44945920928217,9201.494058033075,0.0,8381.04
80,0.0,1281.3471626185672,7388.8128373814325,0.0,8666.0
81,1074.8837940581784,1902.9368500165106,5842.579355925311,0.0,8820.4
82,1341.5412550713227,2348.682086374246,5152.656658554431,0.0,8842.88
83,1319.901330136402,2579.051948589712,4853.126721273886,0.0,8752.08
84,1154.5916163349775,2609.040924736104,4816.207458928919,0.0,8579.84
85,975.2325245470529,2444.783123570639,4942.224351882308,0.0,8362.24
86,960.6967527421851,2120.3569270778526,5049.266320182207,0.0,8130.32
87,891.0777135213289,1626.2203883020752,5386.221898176596,0.0,7903.52
88,577.401013716468,976.0048600371214,6134.082126245697,0.0,7687.488
89,149.93359030068908,224.23575345824926,7345.310656241061,0.0,7719.48
90,0.0,3.4078381984536366,8791.20989976248,0.0,8641.04
91,0.0,0.0,10110.190040983145,0.0,9579.68
92,0.0,0.0,10987.36931953789,0.0,9553.92
93,0.0,0.0,11382.911448393423,0.0,8384.4
94,0.0,0.0,11475.257745861332,0.0,6854.592000000001
95,0.0,0.0,11173.313596216494,0.0,6075.08
96,0.0,0.0,10574.888477638926,0.0,5985.16
97,0.0,0.0,9654.873868330997,0.0,6020.2080000000005
98,0.0,0.0,8803.120489565648,0.0,6193.792
99,0.0,0.0,11758.508688395934,0.0,5981.616
100,0.0,0.0,10924.931440237393,0.0,6384.744000000001
