,storage (m3),inflow (m3/h),precipitaion (m3/h),evaporation (m3/h),outflow (m3/h),spilt (m3/h)
0,55501237469.705864,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
1,55502474939.41173,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
2,55503712409.11759,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
3,55504949878.823456,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
4,55506187348.52932,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
5,55507424818.23518,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
6,55508662287.94105,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
7,55509899757.64691,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
8,55511137227.352776,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
9,55512374697.05864,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
10,55513612166.7645,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
11,55514849636.47037,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
12,55516087106.17623,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
13,55517324575.882095,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
14,55518562045.58796,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
15,55519799515.29382,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
16,55521036984.99969,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
17,55522274454.70555,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
18,55523511924.411415,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
19,55524749394.11728,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
20,55525986863.82314,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
21,55527224333.52901,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
22,55528461803.23487,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
23,55510651137.28289,1366203.5999999999,0.0,128733.89413533836,19048135.65784616,0.0
24,55511888606.988754,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
25,55513126076.69462,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
26,55514363546.40048,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
27,55515601016.106346,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
28,55516838485.81221,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
29,55518075955.518074,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
30,55519313425.22394,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
31,55520550894.9298,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
32,55521788364.635666,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
33,55523025834.34153,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
34,55524263304.04739,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
35,55525500773.75326,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
36,55526738243.45912,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
37,55527975713.164986,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
38,55529213182.87085,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
39,55530450652.57671,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
40,55531688122.28258,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
41,55532925591.98844,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
42,55534163061.694305,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
43,55535400531.40017,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
44,55536638001.10603,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
45,55537875470.8119,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
46,55539112940.51776,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
47,55521302274.56578,1366203.5999999999,0.0,128733.89413533836,19048135.65784616,0.0
48,55522539744.271645,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
49,55523777213.97751,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
50,55525014683.68337,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
51,55526252153.38924,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
52,55527489623.0951,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
53,55528727092.800964,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
54,55529964562.50683,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
55,55531202032.21269,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
56,55532439501.91856,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
57,55533676971.62442,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
58,55534914441.330284,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
59,55536151911.03615,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
60,55537389380.74201,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
61,55538626850.447876,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
62,55539864320.15374,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
63,55541101789.859604,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
64,55542339259.56547,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
65,55543576729.27133,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
66,55544814198.977196,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
67,55546051668.68306,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
68,55547289138.38892,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
69,55548526608.09479,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
70,55549764077.80065,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
71,55531953411.84867,1366203.5999999999,0.0,128733.89413533836,19048135.65784616,0.0
72,55533190881.554535,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
73,55534428351.2604,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
74,55535665820.96626,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
75,55536903290.67213,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
76,55538140760.37799,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
77,55539378230.083855,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
78,55540615699.78972,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
79,55541853169.49558,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
80,55543090639.20145,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
81,55544328108.90731,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
82,55545565578.613174,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
83,55546803048.31904,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
84,55548040518.0249,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
85,55549277987.73077,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
86,55550515457.43663,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
87,55551752927.142494,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
88,55552990396.84836,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
89,55554227866.55422,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
90,55555465336.260086,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
91,55556702805.96595,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
92,55557940275.671814,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
93,55559177745.37768,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
94,55560415215.08354,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
95,55542604549.13156,1366203.5999999999,0.0,128733.89413533836,19048135.65784616,0.0
96,55543842018.837425,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
97,55545079488.54329,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
98,55546316958.24915,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
99,55547554427.95502,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
100,55548791897.66088,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
101,55550029367.366745,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
102,55551266837.07261,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
103,55552504306.77847,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
104,55553741776.48434,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
105,55554979246.1902,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
106,55556216715.896065,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
107,55557454185.60193,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
108,55558691655.30779,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
109,55559929125.01366,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
110,55561166594.71952,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
111,55562404064.425385,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
112,55563641534.13125,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
113,55564879003.83711,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
114,55566116473.54298,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
115,55567353943.24884,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
116,55568591412.954704,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
117,55569828882.66057,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
118,55571066352.36643,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
119,55553255686.41445,1366203.5999999999,0.0,128733.89413533836,19048135.65784616,0.0
120,55554493156.120316,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
121,55555730625.82618,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
122,55556968095.53204,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
123,55558205565.23791,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
124,55559443034.94377,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
125,55560680504.649635,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
126,55561917974.3555,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
127,55563155444.06136,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
128,55564392913.76723,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
129,55565630383.47309,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
130,55566867853.178955,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
131,55568105322.88482,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
132,55569342792.59068,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
133,55570580262.29655,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
134,55571817732.00241,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
135,55573055201.708275,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
136,55574292671.41414,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
137,55575530141.12,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
138,55576767610.82587,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
139,55578005080.53173,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
140,55579242550.237595,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
141,55580480019.94346,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
142,55581717489.64932,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
143,55563906823.69734,1366203.5999999999,0.0,128733.89413533836,19048135.65784616,0.0
144,55565144293.403206,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
145,55566381763.10907,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
146,55567619232.81493,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
147,55568856702.5208,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
148,55570094172.22666,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
149,55571331641.932526,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
150,55572569111.63839,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
151,55573806581.34425,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
152,55575044051.05012,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
153,55576281520.75598,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
154,55577518990.461845,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
155,55578756460.16771,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
156,55579993929.87357,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
157,55581231399.57944,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
158,55582468869.2853,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
159,55583706338.991165,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
160,55584943808.69703,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
161,55586181278.40289,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
162,55587418748.10876,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
163,55588656217.81462,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
164,55589893687.520485,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
165,55591131157.22635,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
166,55592368626.93221,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
167,55574557960.98023,1366203.5999999999,0.0,128733.89413533836,19048135.65784616,0.0
168,55575795430.6861,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
169,55577032900.39196,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
170,55578270370.097824,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
171,55579507839.80369,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
172,55580745309.50955,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
173,55581982779.215416,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
174,55583220248.92128,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
175,55584457718.627144,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
176,55585695188.33301,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
177,55586932658.03887,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
178,55588170127.744736,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
179,55589407597.4506,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
180,55590645067.15646,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
181,55591882536.86233,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
182,55593120006.56819,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
183,55594357476.274055,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
184,55595594945.97992,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
185,55596832415.68578,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
186,55598069885.39165,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
187,55599307355.09751,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
188,55600544824.803375,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
189,55601782294.50924,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
190,55603019764.2151,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
191,55585209098.26312,1366203.5999999999,0.0,128733.89413533836,19048135.65784616,0.0
192,55586446567.96899,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
193,55587684037.67485,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
194,55588921507.380714,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
195,55590158977.08658,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
196,55591396446.79244,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
197,55592633916.49831,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
198,55593871386.20417,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
199,55595108855.910034,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
200,55596346325.6159,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
201,55597583795.32176,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
202,55598821265.027626,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
203,55600058734.73349,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
204,55601296204.439354,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
205,55602533674.14522,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
206,55603771143.85108,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
207,55605008613.556946,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
208,55606246083.26281,1366203.5999999999,0.0,128733.89413533836,0.0,0.0
