,Hydro (MW),Solar (MW),Wind (MW),Loss Load (MW),Load (MW)
0,0.0,0.0,71509.16336790602,0.0,6139.8
1,0.0,0.0,65287.870808937114,0.0,6192.528
2,0.0,0.0,59528.17210004858,0.0,6383.4400000000005
3,0.0,0.0,79513.00106279543,0.0,6704.112
4,0.0,0.0,73876.21238702044,0.0,7123.68
5,0.0,2.481333058727368,71486.93008351701,0.0,7593.448
6,0.0,41.562328733683415,67218.5976504654,0.0,8055.68
7,0.0,462.76861545265376,62222.040754004665,0.0,8454.560000000001
8,0.0,1166.226537601863,49964.38736923301,0.0,8746.560000000001
9,0.0,1731.9704749917028,39508.49813085694,0.0,8907.92
10,0.0,2137.668430093627,34843.12553786522,0.0,8937.2
11,0.0,2347.34107355609,32817.654038674955,0.0,8853.12
12,0.0,2374.635737202091,32567.99981602936,0.0,8687.6
13,0.0,2225.1354204137674,33420.14710858708,0.0,8476.56
14,0.0,1929.8567864252102,34143.98278917751,0.0,8251.2
15,0.0,1480.115169530875,36422.532726179576,0.0,8031.040000000001
16,0.0,888.3172350243976,41479.68858540553,0.0,7821.536
17,0.0,204.089644080326,49670.218349426796,0.0,7876.112
18,0.0,3.10166632340921,59447.63070106893,0.0,8816.0
19,0.0,0.0,68366.79486975158,0.0,9754.64
20,0.0,0.0,74298.42776268949,0.0,9721.84
21,0.0,0.0,76973.14974874441,0.0,8550.800000000001
22,0.0,0.0,77597.61084694111,0.0,7027.152
23,0.0,0.0,75555.81404023313,0.0,6255.5199999999995
24,0.0,0.0,71509.16336790602,0.0,6172.376
25,0.0,0.0,65287.870808937114,0.0,6214.255999999999
26,0.0,0.0,59528.17210004858,0.0,6394.712
27,0.0,0.0,79513.00106279543,0.0,6705.376
28,0.0,0.0,73876.21238702044,0.0,7115.432
29,0.0,2.481333058727368,71486.93008351701,0.0,7576.192
30,0.0,41.562328733683415,67218.5976504654,0.0,8029.999999999999
31,0.0,462.76861545265376,62222.040754004665,0.0,8421.039999999999
32,0.0,1166.226537601863,49964.38736923301,0.0,8705.76
33,0.0,1731.9704749917028,39508.49813085694,0.0,8860.480000000001
34,0.0,2137.668430093627,34843.12553786522,0.0,8883.84
35,0.0,2347.34107355609,32817.654038674955,0.0,8794.48
36,0.0,2374.635737202091,32567.99981602936,0.0,8624.320000000002
37,0.0,2225.1354204137674,33420.14710858708,0.0,8409.359999999999
38,0.0,1929.8567864252102,34143.98278917751,0.0,8180.720000000001
39,0.0,1480.115169530875,36422.532726179576,0.0,7957.944
40,0.0,888.3172350243976,41479.68858540553,0.0,7746.544
41,0.0,204.089644080326,49670.218349426796,0.0,7854.024
