,Hydro (MW),Solar (MW),Wind (MW),Loss Load (MW),Load (MW)
0,0.0,0.0,18231.345128839133,0.0,6139.8
1,0.0,0.0,16645.219289182813,0.0,6192.528
2,0.0,0.0,15176.777343363541,0.0,6383.4400000000005
3,0.0,0.0,20271.93294301893,0.0,6704.112
4,0.0,0.0,18834.827054397825,0.0,7123.68
5,0.0,8.081901693468618,18225.676726889607,0.0,7593.448
6,0.0,135.37185336559935,17137.460363467475,0.0,8055.68
7,0.0,1507.274665831896,15863.582318403664,0.0,8454.560000000001
8,0.0,3798.4937959302506,12738.479201510645,0.0,8746.560000000001
9,0.0,5641.167382041095,10072.737968418505,0.0,8907.92
10,0.0,6962.558308923214,8883.295750225345,0.0,8937.2
11,0.0,7645.479002021313,8366.899414270754,0.0,8853.12
12,0.0,7734.379920649468,8303.249777195479,0.0,8687.6
13,0.0,7247.445343617984,8520.505729573159,0.0,8476.56
14,0.0,6285.699042095217,8705.048485884234,0.0,8251.2
15,0.0,4820.8543601540305,9285.967466589625,0.0,8031.040000000001
16,0.0,2893.320806261765,10575.295288333644,0.0,7821.536
17,0.0,664.7364142877938,12663.480464653567,0.0,7876.112
18,0.0,10.102377116835772,15156.24321916462,0.0,8816.0
19,0.0,0.0,17430.194592129632,0.0,9754.64
20,0.0,0.0,18942.47135996636,0.0,9721.84
21,0.0,0.0,19624.3948695532,0.0,8550.800000000001
22,0.0,0.0,19783.601959449985,0.0,7027.152
23,0.0,0.0,19263.04346718322,0.0,6255.5199999999995
24,0.0,0.0,18231.345128839133,0.0,6172.376
25,0.0,0.0,16645.219289182813,0.0,6214.255999999999
26,0.0,0.0,15176.777343363541,0.0,6394.712
27,0.0,0.0,20271.93294301893,0.0,6705.376
28,0.0,0.0,18834.827054397825,0.0,7115.432
29,0.0,8.081901693468618,18225.676726889607,0.0,7576.192
30,0.0,135.37185336559935,17137.460363467475,0.0,8029.999999999999
31,0.0,1507.274665831896,15863.582318403664,0.0,8421.039999999999
32,0.0,3798.4937959302506,12738.479201510645,0.0,8705.76
33,0.0,5641.167382041095,10072.737968418505,0.0,8860.480000000001
34,0.0,6962.558308923214,8883.295750225345,0.0,8883.84
35,0.0,7645.479002021313,8366.899414270754,0.0,8794.48
36,0.0,7734.379920649468,8303.249777195479,0.0,8624.320000000002
37,0.0,7247.445343617984,8520.505729573159,0.0,8409.359999999999
38,0.0,6285.699042095217,8705.048485884234,0.0,8180.720000000001
39,0.0,4820.8543601540305,9285.967466589625,0.0,7957.944
40,0.0,2893.320806261765,10575.295288333644,0.0,7746.544
41,0.0,664.7364142877938,12663.480464653567,0.0,7854.024
42,0.0,10.102377116835772,15156.24321916462,0.0,8828.480000000001
43,0.0,0.0,17430.194592129632,0.0,9744.56
44,0.0,0.0,18942.47135996636,0.0,9668.960000000001
45,0.0,0.0,19624.3948695532,0.0,8473.44
46,0.0,0.0,19783.601959449985,0.0,6950.064
47,0.0,0.0,19263.04346718322,0.0,6184.256
48,0.0,0.0,18231.345128839133,0.0,6103.776
49,0.0,0.0,16645.219289182813,0.0,6148.744
50,0.0,0.0,15176.777343363541,0.0,6332.68
51,0.0,0.0,20271.93294301893,0.0,6647.168
52,0.0,0.0,18834.827054397825,0.0,7061.344
53,0.0,8.081901693468618,18225.676726889607,0.0,7526.4800000000005
54,0.0,135.37185336559935,17137.460363467475,0.0,7984.84
55,0.0,1507.274665831896,15863.582318403664,0.0,8380.56
56,0.0,3798.4937959302506,12738.479201510645,0.0,8670.16
57,0.0,5641.167382041095,10072.737968418505,0.0,8829.76
58,0.0,6962.558308923214,8883.295750225345,0.0,8858.0
59,0.0,7645.479002021313,8366.899414270754,0.0,8773.36
60,0.0,7734.379920649468,8303.249777195479,0.0,8607.92
61,0.0,7247.445343617984,8520.505729573159,0.0,8397.6
62,0.0,6285.699042095217,8705.048485884234,0.0,8173.28
63,0.0,4820.8543601540305,9285.967466589625,0.0,7954.608
64,0.0,2893.320806261765,10575.295288333644,0.0,7747.023999999999
65,0.0,664.7364142877938,12663.480464653567,0.0,7864.888
66,0.0,10.102377116835772,15156.24321916462,0.0,8846.48
67,0.0,0.0,17430.194592129632,0.0,9762.4
68,0.0,0.0,18942.47135996636,0.0,9683.76
69,0.0,0.0,19624.3948695532,0.0,8486.88
70,0.0,0.0,19783.601959449985,0.0,6964.632
71,0.0,0.0,19263.04346718322,0.0,6199.976000000001
72,0.0,0.0,18231.345128839133,0.0,6119.656
73,0.0,0.0,16645.219289182813,0.0,6164.215999999999
74,0.0,0.0,15176.777343363541,0.0,6347.152
75,0.0,0.0,20271.93294301893,0.0,6660.04
76,0.0,0.0,18834.827054397825,0.0,7072.0
77,0.0,8.081901693468618,18225.676726889607,0.0,7534.328
78,0.0,135.37185336559935,17137.460363467475,0.0,7989.28
79,0.0,1507.274665831896,15863.582318403664,0.0,8381.04
80,0.0,3798.4937959302506,12738.479201510645,0.0,8666.0
81,0.0,5641.167382041095,10072.737968418505,0.0,8820.4
82,0.0,6962.558308923214,8883.295750225345,0.0,8842.88
83,0.0,7645.479002021313,8366.899414270754,0.0,8752.08
84,0.0,7734.379920649468,8303.249777195479,0.0,8579.84
85,0.0,7247.445343617984,8520.505729573159,0.0,8362.24
86,0.0,6285.699042095217,8705.048485884234,0.0,8130.32
87,0.0,4820.8543601540305,9285.967466589625,0.0,7903.52
88,0.0,2893.320806261765,10575.295288333644,0.0,7687.488
89,0.0,664.7364142877938,12663.480464653567,0.0,7719.48
90,0.0,10.102377116835772,15156.24321916462,0.0,8641.04
91,0.0,0.0,17430.194592129632,0.0,9579.68
92,0.0,0.0,18942.47135996636,0.0,9553.92
93,0.0,0.0,19624.3948695532,0.0,8384.4
94,0.0,0.0,19783.601959449985,0.0,6854.592000000001
95,0.0,0.0,19263.04346718322,0.0,6075.08
96,0.0,0.0,18231.345128839133,0.0,5985.16
97,0.0,0.0,16645.219289182813,0.0,6020.2080000000005
98,0.0,0.0,15176.777343363541,0.0,6193.792
99,0.0,0.0,20271.93294301893,0.0,5981.616
100,0.0,0.0,18834.827054397825,0.0,6384.744000000001
101,0.0,8.081901693468618,18225.676726889607,0.0,6838.56
102,0.0,135.37185336559935,17137.460363467475,0.0,7285.336
103,0.0,1507.274665831896,15863.582318403664,0.0,7669.255999999999
104,0.0,3798.4937959302506,12738.479201510645,0.0,7946.799999999999
105,0.0,5641.167382041095,10072.737968418505,0.0,8094.239999999999
106,0.0,6962.558308923214,8883.295750225345,0.0,8110.160000000001
107,0.0,7645.479002021313,8366.899414270754,0.0,8013.44
108,0.0,7734.379920649468,8303.249777195479,0.0,7836.088
109,0.0,7247.445343617984,8520.505729573159,0.0,7614.143999999999
110,0.0,6285.699042095217,8705.048485884234,0.0,7378.768
111,0.0,4820.8543601540305,9285.967466589625,0.0,7149.536
112,0.0,2893.320806261765,10575.295288333644,0.0,6932.04
113,0.0,664.7364142877938,12663.480464653567,0.0,6997.808
114,0.0,10.102377116835772,15156.24321916462,0.0,7944.168000000001
115,0.0,0.0,17430.194592129632,0.0,8869.92
116,0.0,0.0,18942.47135996636,0.0,8817.6
117,0.0,0.0,19624.3948695532,0.0,7633.864
118,0.0,0.0,19783.601959449985,0.0,6106.728
119,0.0,0.0,19263.04346718322,0.0,5334.16
120,0.0,0.0,18231.345128839133,0.0,5249.6320000000005
121,0.0,0.0,16645.219289182813,0.0,5290.96
122,0.0,0.0,15176.777343363541,0.0,5471.72
123,0.0,0.0,20271.93294301893,0.0,5783.552000000001
124,0.0,0.0,18834.827054397825,0.0,6195.592000000001
125,0.0,8.081901693468618,18225.676726889607,0.0,6659.128
126,0.0,135.37185336559935,17137.460363467475,0.0,7116.416
127,0.0,1507.274665831896,15863.582318403664,0.0,7511.584
128,0.0,3798.4937959302506,12738.479201510645,0.0,7801.088
129,0.0,5641.167382041095,10072.737968418505,0.0,7961.128000000001
130,0.0,6962.558308923214,8883.295750225345,0.0,7990.344
131,0.0,7645.479002021313,8366.899414270754,0.0,7907.456
132,0.0,7734.379920649468,8303.249777195479,0.0,7744.416
133,0.0,7247.445343617984,8520.505729573159,0.0,7537.264
134,0.0,6285.699042095217,8705.048485884234,0.0,7317.088
135,0.0,4820.8543601540305,9285.967466589625,0.0,7103.408
136,0.0,2893.320806261765,10575.295288333644,0.0,6901.728
137,0.0,664.7364142877938,12663.480464653567,0.0,7015.04
138,0.0,10.102377116835772,15156.24321916462,0.0,7997.528
139,0.0,0.0,17430.194592129632,0.0,8926.48
140,0.0,0.0,18942.47135996636,0.0,8865.52
141,0.0,0.0,19624.3948695532,0.0,7683.312
142,0.0,0.0,19783.601959449985,0.0,6171.512
143,0.0,0.0,19263.04346718322,0.0,5416.976
144,0.0,0.0,18231.345128839133,0.0,5348.143999999999
145,0.0,0.0,16645.219289182813,0.0,5404.856
146,0.0,0.0,15176.777343363541,0.0,5600.632
147,0.0,0.0,20271.93294301893,0.0,5927.031999999999
148,0.0,0.0,18834.827054397825,0.0,6869.048000000001
149,0.0,8.081901693468618,18225.676726889607,0.0,7346.072
150,0.0,135.37185336559935,17137.460363467475,0.0,7816.2880000000005
151,0.0,1507.274665831896,15863.582318403664,0.0,8223.839999999998
152,0.0,3798.4937959302506,12738.479201510645,0.0,8525.04
153,0.0,5641.167382041095,10072.737968418505,0.0,8696.24
154,0.0,6962.558308923214,8883.295750225345,0.0,8735.84
155,0.0,7645.479002021313,8366.899414270754,0.0,8662.48
156,0.0,7734.379920649468,8303.249777195479,0.0,8508.16
157,0.0,7247.445343617984,8520.505729573159,0.0,8308.640000000001
158,0.0,6285.699042095217,8705.048485884234,0.0,8095.039999999999
159,0.0,4820.8543601540305,9285.967466589625,0.0,7886.848
160,0.0,2893.320806261765,10575.295288333644,0.0,7689.504
161,0.0,664.7364142877938,12663.480464653567,0.0,7729.192
162,0.0,10.102377116835772,15156.24321916462,0.0,8661.039999999999
163,0.0,0.0,17430.194592129632,0.0,9623.039999999999
164,0.0,0.0,18942.47135996636,0.0,9625.679999999998
165,0.0,0.0,19624.3948695532,0.0,8480.72
166,0.0,0.0,19783.601959449985,0.0,6969.7519999999995
167,0.0,0.0,19263.04346718322,0.0,6207.72
168,0.0,0.0,18231.345128839133,0.0,6135.816
169,0.0,0.0,16645.219289182813,0.0,6188.576
170,0.0,0.0,15176.777343363541,0.0,6379.52
171,0.0,0.0,20271.93294301893,0.0,6700.224
172,0.0,0.0,18834.827054397825,0.0,7119.8240000000005
173,0.0,8.081901693468618,18225.676726889607,0.0,7589.616
174,0.0,135.37185336559935,17137.460363467475,0.0,8051.920000000001
175,0.0,1507.274665831896,15863.582318403664,0.0,8450.8
176,0.0,3798.4937959302506,12738.479201510645,0.0,8742.800000000001
177,0.0,5641.167382041095,10072.737968418505,0.0,8904.16
178,0.0,6962.558308923214,8883.295750225345,0.0,8933.52
179,0.0,7645.479002021313,8366.899414270754,0.0,8849.439999999999
180,0.0,7734.379920649468,8303.249777195479,0.0,8683.92
181,0.0,7247.445343617984,8520.505729573159,0.0,8472.960000000001
182,0.0,6285.699042095217,8705.048485884234,0.0,8247.68
183,0.0,4820.8543601540305,9285.967466589625,0.0,8027.4400000000005
184,0.0,2893.320806261765,10575.295288333644,0.0,7818.031999999999
185,0.0,664.7364142877938,12663.480464653567,0.0,7856.24
186,0.0,10.102377116835772,15156.24321916462,0.0,8784.16
187,0.0,0.0,17430.194592129632,0.0,9729.52
188,0.0,0.0,18942.47135996636,0.0,9710.72
189,0.0,0.0,19624.3948695532,0.0,8548.08
190,0.0,0.0,19783.601959449985,0.0,7024.9839999999995
191,0.0,0.0,19263.04346718322,0.0,6252.224
192,0.0,0.0,18231.345128839133,0.0,6169.104
193,0.0,0.0,16645.219289182813,0.0,6211.008
194,0.0,0.0,15176.777343363541,0.0,6391.496
195,0.0,0.0,20271.93294301893,0.0,6702.200000000001
196,0.0,0.0,18834.827054397825,0.0,7112.28
197,0.0,8.081901693468618,18225.676726889607,0.0,7573.072
198,0.0,135.37185336559935,17137.460363467475,0.0,8026.88
199,0.0,1507.274665831896,15863.582318403664,0.0,8418.0
200,0.0,3798.4937959302506,12738.479201510645,0.0,8702.8
201,0.0,5641.167382041095,10072.737968418505,0.0,8857.519999999999
202,0.0,6962.558308923214,8883.295750225345,0.0,8880.88
203,0.0,7645.479002021313,8366.899414270754,0.0,8791.52
204,0.0,7734.379920649468,8303.249777195479,0.0,8621.359999999999
205,0.0,7247.445343617984,8520.505729573159,0.0,8406.48
206,0.0,6285.699042095217,8705.048485884234,0.0,8177.92
207,0.0,4820.8543601540305,9285.967466589625,0.0,7955.12
208,0.0,2893.320806261765,10575.295288333644,0.0,7743.7519999999995
209,0.0,664.7364142877938,12663.480464653567,0.0,7830.064
210,0.0,10.102377116835772,15156.24321916462,0.0,8791.6
211,0.0,0.0,17430.194592129632,0.0,9716.56
212,0.0,0.0,18942.47135996636,0.0,9657.439999999999
213,0.0,0.0,19624.3948695532,0.0,8471.679999999998
214,0.0,0.0,19783.601959449985,0.0,6948.832
215,0.0,0.0,19263.04346718322,0.0,6181.664
216,0.0,0.0,18231.345128839133,0.0,6101.216
217,0.0,0.0,16645.219289182813,0.0,6146.216
218,0.0,0.0,15176.777343363541,0.0,6330.184
219,0.0,0.0,20271.93294301893,0.0,6644.704
220,0.0,0.0,18834.827054397825,0.0,7058.904
221,0.0,8.081901693468618,18225.676726889607,0.0,7524.064
222,0.0,135.37185336559935,17137.460363467475,0.0,7982.464
223,0.0,1507.274665831896,15863.582318403664,0.0,8378.24
224,0.0,3798.4937959302506,12738.479201510645,0.0,8667.84
225,0.0,5641.167382041095,10072.737968418505,0.0,8827.439999999999
226,0.0,6962.558308923214,8883.295750225345,0.0,8855.68
227,0.0,7645.479002021313,8366.899414270754,0.0,8771.2
228,0.0,7734.379920649468,8303.249777195479,0.0,8605.76
229,0.0,7247.445343617984,8520.505729573159,0.0,8395.44
230,0.0,6285.699042095217,8705.048485884234,0.0,8171.12
231,0.0,4820.8543601540305,9285.967466589625,0.0,7952.496
232,0.0,2893.320806261765,10575.295288333644,0.0,7744.936
233,0.0,664.7364142877938,12663.480464653567,0.0,7767.384
234,0.0,10.102377116835772,15156.24321916462,0.0,8683.68
235,0.0,0.0,17430.194592129632,0.0,9639.12
236,0.0,0.0,18942.47135996636,0.0,9638.880000000001
237,0.0,0.0,19624.3948695532,0.0,8488.8
238,0.0,0.0,19783.601959449985,0.0,6969.272
239,0.0,0.0,19263.04346718322,0.0,6198.104
240,0.0,0.0,18231.345128839133,0.0,6117.816000000001
241,0.0,0.0,16645.219289182813,0.0,6162.4
242,0.0,0.0,15176.777343363541,0.0,6345.360000000001
243,0.0,0.0,20271.93294301893,0.0,6658.280000000001
244,0.0,0.0,18834.827054397825,0.0,7070.280000000001
245,0.0,8.081901693468618,18225.676726889607,0.0,7532.6320000000005
246,0.0,135.37185336559935,17137.460363467475,0.0,7987.616
247,0.0,1507.274665831896,15863.582318403664,0.0,8379.36
248,0.0,3798.4937959302506,12738.479201510645,0.0,8664.400000000001
249,0.0,5641.167382041095,10072.737968418505,0.0,8818.88
250,0.0,6962.558308923214,8883.295750225345,0.0,8841.36
251,0.0,7645.479002021313,8366.899414270754,0.0,8750.56
252,0.0,7734.379920649468,8303.249777195479,0.0,8578.4
253,0.0,7247.445343617984,8520.505729573159,0.0,8360.8
254,0.0,6285.699042095217,8705.048485884234,0.0,8128.88
255,0.0,4820.8543601540305,9285.967466589625,0.0,7902.12
256,0.0,2893.320806261765,10575.295288333644,0.0,7686.12
257,0.0,664.7364142877938,12663.480464653567,0.0,7686.536
258,0.0,10.102377116835772,15156.24321916462,0.0,8582.72
259,0.0,0.0,17430.194592129632,0.0,9534.32
260,0.0,0.0,18942.47135996636,0.0,9536.720000000001
261,0.0,0.0,19624.3948695532,0.0,8384.4
262,0.0,0.0,19783.601959449985,0.0,6855.744
263,0.0,0.0,19263.04346718322,0.0,6073.92
264,0.0,0.0,18231.345128839133,0.0,5984.023999999999
265,0.0,0.0,16645.219289182813,0.0,6019.103999999999
266,0.0,0.0,15176.777343363541,0.0,6192.719999999999
267,0.0,0.0,20271.93294301893,0.0,5980.568
268,0.0,0.0,18834.827054397825,0.0,6383.736
