,Hydro (MW),Solar (MW),Wind (MW),Loss Load (MW),Load (MW)
0,0.0,0.0,19249.52322388867,0.0,6139.8
1,0.0,0.0,17574.815956229242,0.0,6192.528
2,0.0,0.0,16024.364953342643,0.0,6383.4400000000005
3,0.0,0.0,21404.073107171986,0.0,6704.112
4,0.0,0.0,19886.70820717678,0.0,7123.68
5,0.0,6.450500594291965,19243.538254913612,0.0,7593.448
6,0.0,108.04588495439042,18094.54754620424,0.0,8055.68
7,0.0,1203.0183608354505,16749.526384048273,0.0,8454.560000000001
8,0.0,3031.7352793172236,13449.89354837119,0.0,8746.560000000001
9,0.0,4502.449414815792,10635.276886097947,0.0,8907.92
10,0.0,5557.106261982527,9379.407094770004,0.0,8937.2
11,0.0,6102.173562200199,8834.171228110623,0.0,8853.12
12,0.0,6173.129068737411,8766.966907287662,0.0,8687.6
13,0.0,5784.48640793132,8996.356097787206,0.0,8476.56
14,0.0,5016.876837210575,9191.205136533732,0.0,8251.2
15,0.0,3847.723604495157,9804.56708713371,0.0,8031.040000000001
16,0.0,2309.2792127565235,11165.900859955967,0.0,7821.536
17,0.0,530.5536738805141,13370.70630701899,0.0,7876.112
18,0.0,8.063125742864957,16002.684046209572,0.0,8816.0
19,0.0,0.0,18403.630298641725,0.0,9754.64
20,0.0,0.0,20000.364196096823,0.0,9721.84
21,0.0,0.0,20720.37154289118,0.0,8550.800000000001
22,0.0,0.0,20888.469977357654,0.0,7027.152
23,0.0,0.0,20338.83950766561,0.0,6255.5199999999995
24,0.0,0.0,19249.52322388867,0.0,6172.376
25,0.0,0.0,17574.815956229242,0.0,6214.255999999999
26,0.0,0.0,16024.364953342643,0.0,6394.712
27,0.0,0.0,21404.073107171986,0.0,6705.376
28,0.0,0.0,19886.70820717678,0.0,7115.432
29,0.0,6.450500594291965,19243.538254913612,0.0,7576.192
30,0.0,108.04588495439042,18094.54754620424,0.0,8029.999999999999
31,0.0,1203.0183608354505,16749.526384048273,0.0,8421.039999999999
32,0.0,3031.7352793172236,13449.89354837119,0.0,8705.76
33,0.0,4502.449414815792,10635.276886097947,0.0,8860.480000000001
